Date,Open,High,Low,Close,Adj Close,Volume
2016-05-16,40.002701,40.300488,39.357494,39.804176,39.804176,290899
2016-05-17,40.151592,40.995323,39.704914,40.399750,40.399750,419863
2016-05-18,40.052330,40.350117,39.804176,39.903439,39.903439,220391
2016-05-19,40.002701,42.285732,39.903439,40.896061,40.896061,693498
2016-05-20,40.896061,41.193848,39.556019,39.903439,39.903439,375344
2016-05-23,39.903439,40.350117,39.655281,39.853806,39.853806,239396
2016-05-24,40.151592,40.151592,38.811550,39.456757,39.456757,352436
2016-05-25,39.804176,40.747166,39.357494,40.201225,40.201225,398211
2016-05-26,39.208603,39.407127,37.818928,38.712292,38.712292,482505
2016-05-27,38.414501,38.910812,38.116714,38.166348,38.166348,329993
2016-05-30,38.364872,38.563396,37.421879,37.719666,37.719666,247296
2016-05-31,37.868561,37.918190,36.429256,36.677414,36.677414,208515
2016-06-01,36.478889,37.471512,36.478889,36.875938,36.875938,373897
2016-06-02,36.826305,36.925568,36.230732,36.379627,36.379627,166783
2016-06-03,36.528519,37.620403,36.230732,36.578152,36.578152,347177
2016-06-06,36.627781,36.627781,35.734421,35.883316,35.883316,282812
2016-06-07,35.982578,36.578152,35.734421,36.081841,36.081841,278400
2016-06-08,35.982578,38.960445,35.883316,38.513763,38.513763,923278
2016-06-09,38.712292,39.059708,37.670036,38.116714,38.116714,508201
2016-06-10,38.116714,39.903439,37.918190,38.116714,38.116714,980181
2016-06-13,37.769299,39.208603,36.975201,38.811550,38.811550,486267
2016-06-14,39.456757,39.456757,38.067085,38.563396,38.563396,389009
2016-06-15,39.158970,39.456757,38.414501,39.059708,39.059708,442773
2016-06-16,39.059708,39.059708,37.620403,38.116714,38.116714,438287
2016-06-17,38.662659,39.307861,38.166348,38.513763,38.513763,723137
2016-06-20,39.208603,41.044952,38.811550,40.250854,40.250854,1110585
2016-06-21,40.548641,40.548641,39.506390,39.754543,39.754543,272169
2016-06-22,40.052330,40.101963,38.464134,38.613026,38.613026,255151
2016-06-23,38.464134,40.846428,38.215977,39.506390,39.506390,949003
2016-06-24,38.017452,38.414501,36.379627,38.215977,38.215977,815967
2016-06-27,37.769299,38.960445,37.173725,37.918190,37.918190,589219
2016-06-28,38.067085,38.563396,37.421879,37.769299,37.769299,404617
2016-06-29,37.868561,39.357494,37.868561,38.513763,38.513763,393663
2016-06-30,38.861183,39.804176,38.464134,38.910812,38.910812,543123
2016-07-01,42.434624,44.469501,42.285732,42.682781,42.682781,2584501
2016-07-04,42.831673,43.030197,42.087208,42.335361,42.335361,438350
2016-07-05,42.533890,42.533890,41.193848,41.442001,41.442001,302616
2016-07-07,41.590897,41.640526,40.201225,40.499012,40.499012,319794
2016-07-08,40.647903,40.647903,39.704914,39.903439,39.903439,248731
2016-07-11,40.399750,42.087208,39.953068,41.144215,41.144215,656151
2016-07-12,41.442001,41.690159,40.300488,40.995323,40.995323,329922
2016-07-13,41.094585,41.094585,39.903439,40.002701,40.002701,223951
2016-07-14,40.300488,40.796799,39.804176,40.399750,40.399750,326492
2016-07-15,40.499012,40.499012,39.109341,39.208603,39.208603,320080
2016-07-18,39.357494,44.469501,39.208603,44.221348,44.221348,2561937
2016-07-19,44.221348,46.256222,39.506390,42.384995,42.384995,4025214
2016-07-20,42.186470,42.186470,37.272987,40.002701,40.002701,4380464
2016-07-21,40.499012,41.144215,39.704914,39.953068,39.953068,573224
2016-07-22,40.101963,41.044952,39.605652,40.250854,40.250854,312259
2016-07-25,40.896061,42.583519,40.697536,41.243477,41.243477,1004612
2016-07-26,41.541264,41.987946,40.697536,40.896061,40.896061,380219
2016-07-27,40.896061,41.739788,40.449379,40.647903,40.647903,461620
2016-07-28,40.548641,42.186470,40.548641,41.193848,41.193848,472954
2016-07-29,41.442001,41.690159,40.399750,40.796799,40.796799,606711
2016-08-01,41.094585,42.384995,40.499012,41.640526,41.640526,830330
2016-08-02,41.541264,41.987946,40.449379,40.598274,40.598274,294863
2016-08-03,41.044952,41.392372,39.903439,40.151592,40.151592,338963
2016-08-04,40.201225,40.697536,39.754543,40.002701,40.002701,254054
2016-08-05,40.201225,41.243477,40.201225,40.350117,40.350117,220253
2016-08-08,40.399750,40.896061,39.655281,39.754543,39.754543,160075
2016-08-09,40.052330,40.697536,39.407127,39.506390,39.506390,291103
2016-08-10,39.704914,40.002701,38.712292,39.109341,39.109341,199635
2016-08-11,39.208603,39.307861,38.811550,38.910812,38.910812,131463
2016-08-12,38.960445,39.407127,38.861183,38.910812,38.910812,200823
2016-08-16,38.910812,39.208603,38.364872,38.861183,38.861183,194143
2016-08-17,38.811550,40.548641,38.761921,40.300488,40.300488,408041
2016-08-18,40.499012,41.392372,39.903439,40.449379,40.449379,395366
2016-08-19,40.399750,40.945690,39.953068,40.201225,40.201225,314346
2016-08-22,40.250854,41.839050,40.250854,41.243477,41.243477,643435
2016-08-23,41.640526,41.739788,40.945690,41.342739,41.342739,373231
2016-08-24,41.293110,41.590897,40.697536,40.945690,40.945690,245068
2016-08-25,41.193848,41.193848,40.250854,40.399750,40.399750,219946
2016-08-26,40.250854,40.250854,39.456757,39.605652,39.605652,321669
2016-08-29,39.556019,39.605652,38.910812,39.307861,39.307861,216274
2016-08-30,39.506390,40.499012,39.357494,39.506390,39.506390,296581
2016-08-31,39.655281,40.399750,39.307861,39.556019,39.556019,310740
2016-09-01,39.556019,40.399750,39.208603,39.357494,39.357494,347663
2016-09-02,39.407127,40.151592,39.307861,39.655281,39.655281,181572
2016-09-06,39.754543,40.449379,39.704914,39.853806,39.853806,242428
2016-09-07,39.903439,40.399750,39.605652,39.953068,39.953068,215872
2016-09-08,39.704914,40.201225,39.456757,39.804176,39.804176,224642
2016-09-09,39.754543,43.079830,39.754543,41.987946,41.987946,1842827
2016-09-12,41.144215,42.533890,40.598274,40.846428,40.846428,792041
2016-09-14,41.193848,44.072453,41.094585,43.576141,43.576141,1155907
2016-09-15,43.774666,44.668026,43.030197,43.576141,43.576141,770987
2016-09-16,43.675404,44.122086,42.136841,42.384995,42.384995,577570
2016-09-19,42.732410,43.476879,42.285732,42.484257,42.484257,559635
2016-09-20,42.583519,43.179092,41.690159,41.839050,41.839050,494045
2016-09-21,42.136841,42.384995,41.442001,41.590897,41.590897,271353
2016-09-22,41.789421,47.745155,41.789421,46.653271,46.653271,4314379
2016-09-23,46.603642,46.851795,44.767288,44.916183,44.916183,1093466
2016-09-26,44.866550,46.355488,44.370239,44.668026,44.668026,773985
2016-09-27,44.816921,45.362862,43.377617,43.675404,43.675404,434320
2016-09-28,43.725037,47.000690,43.476879,46.008068,46.008068,1231253
2016-09-29,46.454746,47.348106,40.399750,41.293110,41.293110,1773073
2016-09-30,42.186470,43.377617,41.392372,42.583519,42.583519,614090
2016-10-03,42.682781,44.568764,42.682781,43.973190,43.973190,582093
2016-10-04,43.824299,45.412495,43.824299,45.065075,45.065075,739096
2016-10-05,45.164337,51.715649,45.164337,50.524502,50.524502,4704842
2016-10-06,50.623764,52.906796,49.829666,51.914173,51.914173,3632259
2016-10-07,51.914173,53.303844,51.368233,52.509747,52.509747,1843601
2016-10-10,53.105320,53.303844,51.020813,51.517124,51.517124,910811
2016-10-13,50.971184,51.169704,47.993313,49.035568,49.035568,1172339
2016-10-14,48.936306,52.211960,48.539257,51.368233,51.368233,1458496
2016-10-17,51.417862,54.693516,50.623764,53.800156,53.800156,2670383
2016-10-18,54.494991,55.388351,53.750526,54.197205,54.197205,1251183
2016-10-19,54.395729,55.735771,53.998680,55.040936,55.040936,1420576
2016-10-20,55.487617,56.926918,54.743149,55.090565,55.090565,3780842
2016-10-21,55.884666,57.125443,55.189831,55.388351,55.388351,1369039
2016-10-24,56.083187,56.281715,54.445362,54.842411,54.842411,1046584
2016-10-25,54.842411,55.289089,53.105320,53.849789,53.849789,863831
2016-10-26,53.601631,57.572124,53.055691,56.132820,56.132820,2258353
2016-10-27,55.686138,56.728394,54.544624,55.090565,55.090565,969949
2016-10-28,55.189831,56.232082,53.105320,53.849789,53.849789,952415
2016-11-01,52.609009,54.792782,52.609009,52.857166,52.857166,737182
2016-11-02,52.509747,52.609009,50.127453,50.375607,50.375607,626052
2016-11-03,49.879295,51.368233,48.886673,49.085197,49.085197,686982
2016-11-04,49.184460,49.234093,45.759911,46.305855,46.305855,954604
2016-11-07,47.248844,48.390362,46.901428,47.596264,47.596264,665069
2016-11-08,47.943684,48.340733,46.851795,47.596264,47.596264,454702
2016-11-09,42.583519,45.263599,40.647903,44.767288,44.767288,1117314
2016-11-10,46.355488,47.844421,45.908806,46.951057,46.951057,796653
2016-11-11,46.305855,46.653271,43.377617,43.774666,43.774666,834173
2016-11-15,45.164337,45.164337,40.846428,41.293110,41.293110,444775
2016-11-16,42.682781,42.980568,40.945690,41.243477,41.243477,369115
